Date,Popularity
2019-09-08,8
2019-09-15,7
2019-09-22,8
2019-09-29,10
2019-10-06,8
2019-10-13,8
2019-10-20,23
2019-10-27,13
2019-11-03,10
2019-11-10,10
2019-11-17,16
2019-11-24,10
2019-12-01,9
2019-12-08,9
2019-12-15,17
2019-12-22,16
2019-12-29,15
2020-01-05,25
2020-01-12,31
2020-01-19,26
2020-01-26,38
2020-02-02,92
2020-02-09,41
2020-02-16,36
2020-02-23,41
2020-03-01,33
2020-03-08,36
2020-03-15,38
2020-03-22,28
2020-03-29,24
2020-04-05,19
2020-04-12,29
2020-04-19,21
2020-04-26,38
2020-05-03,25
2020-05-10,22
2020-05-17,16
2020-05-24,14
2020-05-31,20
2020-06-07,30
2020-06-14,22
2020-06-21,17
2020-06-28,26
2020-07-05,45
2020-07-12,57
2020-07-19,61
2020-07-26,33
2020-08-02,22
2020-08-09,40
2020-08-16,55
2020-08-23,51
2020-08-30,100
